"date,open,High,low,close,volume"
"2002-10-28,11.119999885559082,11.550000190734863,11.119999885559082,11.119999885559082,4864322"
"2002-10-29,10.760000228881836,11.279999732971191,10.760000228881836,10.760000228881836,5520210"
"2002-10-30,10.920000076293945,10.979999542236328,10.729999542236328,10.920000076293945,7038886"
"2002-10-31,11.420000076293945,11.420000076293945,10.859999656677246,11.420000076293945,7282602"
"2002-11-04,11.4399995803833,11.739999771118164,11.260000228881836,11.4399995803833,7075356"
"2002-11-05,11.449999809265137,11.449999809265137,11.199999809265137,11.449999809265137,5626819"
"2002-11-06,11.319999694824219,11.619999885559082,11.319999694824219,11.319999694824219,5579050"
"2002-11-07,11.020000457763672,11.59000015258789,11.020000457763672,11.020000457763672,9052957"
"2002-11-08,11.109999656677246,11.4399995803833,11.0600004196167,11.109999656677246,4987451"
"2002-11-11,11.359999656677246,11.520000457763672,11.050000190734863,11.359999656677246,5274492"
"2002-11-12,11.989999771118164,12.199999809265137,11.34000015258789,11.989999771118164,15516919"
"2002-11-13,11.989999771118164,12.260000228881836,11.8100004196167,11.989999771118164,9136485"
"2002-11-14,11.890000343322754,12.100000381469727,11.630000114440918,11.890000343322754,5238927"
"2002-11-15,11.609999656677246,12.199999809265137,11.579999923706055,11.609999656677246,8977777"
"2002-11-18,11.949999809265137,12.020000457763672,11.649999618530273,11.949999809265137,3636771"
"2002-11-19,11.949999809265137,12.170000076293945,11.850000381469727,11.949999809265137,4484099"
"2002-11-20,11.880000114440918,12.109999656677246,11.789999961853027,11.880000114440918,7243066"
"2002-11-21,12.420000076293945,12.470000267028809,12.010000228881836,12.420000076293945,9280424"
"2002-11-22,12.380000114440918,12.5,12.100000381469727,12.380000114440918,5649680"
"2002-11-25,12.470000267028809,12.630000114440918,12.380000114440918,12.470000267028809,6171028"
"2002-11-26,12.430000305175781,12.680000305175781,12.350000381469727,12.430000305175781,7725094"
"2002-11-27,12.699999809265137,12.699999809265137,12.300000190734863,12.699999809265137,5740625"
"2002-11-28,12.65999984741211,12.880000114440918,12.550000190734863,12.65999984741211,3606942"
"2002-11-29,12.65999984741211,12.869999885559082,12.520000457763672,12.65999984741211,5495031"
"2002-12-02,12.729999542236328,12.960000038146973,12.5600004196167,12.729999542236328,7375604"
"2002-12-03,12.609999656677246,13.029999732971191,12.579999923706055,12.609999656677246,4553178"
"2002-12-04,12.59000015258789,12.760000228881836,12.430000305175781,12.59000015258789,4645576"
"2002-12-05,12.489999771118164,12.979999542236328,12.449999809265137,12.489999771118164,5839825"
"2002-12-09,12.210000038146973,12.369999885559082,12.029999732971191,12.210000038146973,10162051"
"2002-12-10,12.300000190734863,12.390000343322754,12.109999656677246,12.300000190734863,4837911"
"2002-12-11,12.6899995803833,12.760000228881836,12.3100004196167,12.6899995803833,7170844"
"2002-12-12,12.5,12.789999961853027,12.229999542236328,12.5,5119397"
"2002-12-13,12.020000457763672,12.550000190734863,12.010000228881836,12.020000457763672,8023518"
"2002-12-16,12.489999771118164,12.510000228881836,11.979999542236328,12.489999771118164,5488408"
"2002-12-17,12.5,12.760000228881836,12.34000015258789,12.5,4927436"
"2002-12-18,12.220000267028809,12.670000076293945,12.100000381469727,12.220000267028809,6399696"
"2002-12-19,12.199999809265137,12.479999542236328,12.100000381469727,12.199999809265137,14661270"
"2002-12-20,12.779999732971191,12.779999732971191,12.229999542236328,12.779999732971191,19668458"
"2002-12-23,12.960000038146973,12.989999771118164,12.619999885559082,12.960000038146973,21296220"
"2002-12-27,12.420000076293945,12.899999618530273,12.420000076293945,12.420000076293945,3394390"
"2002-12-30,12.600000381469727,12.649999618530273,12.270000457763672,12.600000381469727,5933336"
"2003-01-02,13.119999885559082,13.1899995803833,12.609999656677246,13.119999885559082,14513281"
"2003-01-03,12.6899995803833,13.25,12.6899995803833,12.6899995803833,5517982"
"2003-01-07,12.829999923706055,13.050000190734863,12.760000228881836,12.829999923706055,28080062"
"2003-01-08,12.9399995803833,13.109999656677246,12.720000267028809,12.9399995803833,8825369"
"2003-01-09,12.850000381469727,13.149999618530273,12.699999809265137,12.850000381469727,10383450"
"2003-01-10,12.979999542236328,13.09000015258789,12.8100004196167,12.979999542236328,28749968"
"2003-01-13,12.9399995803833,13.350000381469727,12.890000343322754,12.9399995803833,29635394"
"2003-01-14,13.369999885559082,13.369999885559082,12.800000190734863,13.369999885559082,25386768"
"2003-01-15,13.75,13.8100004196167,13.270000457763672,13.75,34784084"
"2003-01-16,13.539999961853027,13.789999961853027,13.449999809265137,13.539999961853027,55251620"
"2003-01-17,13.420000076293945,13.59000015258789,13.359999656677246,13.420000076293945,31187738"
"2003-01-20,13.039999961853027,13.539999961853027,13.039999961853027,13.039999961853027,6415538"
"2003-01-21,13.039999961853027,13.380000114440918,12.979999542236328,13.039999961853027,7112268"
"2003-01-22,12.819999694824219,12.949999809265137,12.579999923706055,12.819999694824219,20656004"
"2003-01-23,13.260000228881836,13.289999961853027,12.720000267028809,13.260000228881836,59868096"
"2003-01-24,13.430000305175781,13.699999809265137,13.069999694824219,13.430000305175781,34348792"
"2003-01-27,13.020000457763672,13.489999771118164,12.930000305175781,13.020000457763672,11483908"
"2003-01-28,12.75,12.970000267028809,12.600000381469727,12.75,12361783"
"2003-01-29,12.859999656677246,13.140000343322754,12.359999656677246,12.859999656677246,31622784"
"2003-01-30,13.0600004196167,13.149999618530273,12.859999656677246,13.0600004196167,9276018"
"2003-01-31,13.359999656677246,13.399999618530273,12.699999809265137,13.359999656677246,11143256"
